Resource,type,scan_errors,license_expression,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance
/folies/,directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AAL.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AAL.fullname,,,attribution,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AAL.fullname,,,,attribution,16.00,Attribution Assurance License,AAL,Permissive,False,Unspecified,http://opensource.org/licenses/attribution.php,http://opensource.org/licenses/attribution.php,https://enterprise.dejacode.com/urn/urn:dje:license:attribution,AAL,https://spdx.org/licenses/AAL,1,1,attribution_2.RULE,attribution,[u'attribution'],False,False,True,False,1-hash,3,3,100.00,16.00
/folies/AAL.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AAL.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AAL.text,,,attribution,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AAL.text,,,,attribution,98.68,Attribution Assurance License,AAL,Permissive,False,Unspecified,http://opensource.org/licenses/attribution.php,http://opensource.org/licenses/attribution.php,https://enterprise.dejacode.com/urn/urn:dje:license:attribution,AAL,https://spdx.org/licenses/AAL,1,49,attribution.SPDX.RULE,attribution,[u'attribution'],True,False,False,False,3-seq,375,375,100.00,100.00
/folies/AAL.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/ACE.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/ACE.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/ACE.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/ACE.text,,,ace-tao,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/ACE.text,,,,ace-tao,100.00,ACE TAO License,ACE TAO License,Permissive,False,Douglas Schmidt,http://www.cs.wustl.edu/~schmidt/,http://www.cs.wustl.edu/~schmidt/ACE-copying.html,https://enterprise.dejacode.com/urn/urn:dje:license:ace-tao,DOC,https://spdx.org/licenses/DOC,1,14,ace-tao.SPDX.RULE,ace-tao,[u'ace-tao'],True,False,False,False,1-hash,699,699,100.00,100.00
/folies/ACE.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/ACE.url,,,ace-tao,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/ACE.url,,,,ace-tao,50.00,ACE TAO License,ACE TAO License,Permissive,False,Douglas Schmidt,http://www.cs.wustl.edu/~schmidt/,http://www.cs.wustl.edu/~schmidt/ACE-copying.html,https://enterprise.dejacode.com/urn/urn:dje:license:ace-tao,DOC,https://spdx.org/licenses/DOC,1,1,ace-tao_1.RULE,ace-tao,[u'ace-tao'],False,False,True,False,1-hash,9,9,100.00,50.00
/folies/Adaptec.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Adaptec.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Adaptec.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
